Constituency_No,Uncontested,Dates_DATE_POLLING,Dates_DATE_COUNTING,Dates_DATE_DECLARATION OF RESULT,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
1,False,04-06-1999,06-06-1999,06-06-1999,27,689,True,10,2,12,3,0,3,0,1,1,7,1,8,5,0,5,20,0,0.0,MAG,KHALAP RAMAKANT DATTARAM,5401.0,INC,PARAB SANGEETA GOPAL,4219.0,8,0,0.0,9512,9074,18586,13,2,15,9525,9076,18601,12,0,0.0,7179,6380,13559,78,2,80,7257,6382,13639,12,0,0.0,13639,13638,1,0,0,10,0,0.0
2,False,04-06-1999,06-06-1999,06-06-1999,24,711,True,9,1,10,3,1,4,2,0,2,4,0,4,1,0,1,20,0,0.0,INC,DESHPRABHU JITENDRA RAGHURAJ,5129.0,MAG,KOTKAR PARSHURAM NAGESH,3963.0,8,0,0.0,8688,8377,17065,3,1,4,8691,8378,17069,12,0,0.0,6610,5710,12320,90,3,93,6700,5713,12413,12,0,0.0,12413,12413,0,0,0,10,0,0.0
3,False,04-06-1999,06-06-1999,06-06-1999,21,704,True,8,2,10,3,1,4,0,0,0,5,1,6,2,1,3,20,0,0.0,INC,AZGAONKAR MONOHAR TRIMBAK,4328.0,BJP,DHARGALKAR BALKRISHNA ATMARAM,3232.0,8,0,0.0,7510,7255,14765,9,3,12,7519,7258,14777,12,0,0.0,5342,4659,10001,80,5,85,5422,4664,10086,12,0,0.0,10086,10084,2,0,0,10,0,0.0
4,False,04-06-1999,06-06-1999,06-06-1999,27,932,True,8,0,8,2,0,2,1,0,1,5,0,5,3,0,3,20,0,0.0,INC,NARVEKAR DYANAND GANESH,6989.0,GRCP,HALARNKAR NILKANT RAMNATH,4333.0,8,0,0.0,12603,12565,25168,3,1,4,12606,12566,25172,12,0,0.0,8615,8235,16850,122,6,128,8737,8241,16978,12,0,0.0,16978,16974,4,0,1,10,0,0.0
5,False,04-06-1999,06-06-1999,06-06-1999,25,1014,True,10,0,10,3,0,3,0,0,0,7,0,7,4,0,4,20,0,0.0,GRCP,D SOUZA FRANCIS PEDRO,5602.0,INC,NATEKAR GURUDAS BHALCHANDRA,4027.0,8,0,0.0,13021,12325,25346,1,0,1,13022,12325,25347,12,0,0.0,8182,7191,15373,102,6,108,8284,7197,15481,12,0,0.0,15481,15476,5,0,7,10,0,0.0
6,False,04-06-1999,06-06-1999,06-06-1999,29,844,True,12,1,13,2,0,2,3,1,4,7,0,7,4,0,4,20,0,0.0,BJP,MANDREKAR DAYANAND RAYU,4455.0,INC,MARQUES MILTON OLYMPIO,3663.0,8,0,0.0,12229,12256,24485,3,1,4,12232,12257,24489,12,0,0.0,8252,8078,16330,92,5,97,8344,8083,16427,12,0,0.0,16427,16423,4,0,1,10,0,0.0
7,False,04-06-1999,06-06-1999,06-06-1999,27,924,True,8,0,8,2,0,2,2,0,2,4,0,4,2,0,2,20,0,0.0,UGDP,PARULEKAR SURESH VISHWANATH,7670.0,INC,CARDOZO TOMAZINHO,6921.0,8,0,0.0,12390,12546,24936,3,2,5,12393,12548,24941,12,0,0.0,8229,8260,16489,54,3,57,8283,8263,16546,12,0,0.0,16546,16544,2,0,5,10,0,0.0
8,False,04-06-1999,06-06-1999,06-06-1999,21,980,True,9,0,9,2,0,2,0,0,0,7,0,7,5,0,5,20,0,0.0,GRCP,D  SOUZA WILFRED TITO FERMINO,5006.0,MAG,KALANGUTKAR DEELIP SONU,4542.0,8,0,0.0,10020,10558,20578,2,0,2,10022,10558,20580,12,0,0.0,6719,7140,13859,68,2,70,6787,7142,13929,12,0,0.0,13929,13927,2,0,1,10,0,0.0
9,False,04-06-1999,06-06-1999,06-06-1999,32,915,True,9,1,10,2,0,2,0,0,0,7,1,8,6,1,7,20,0,0.0,BJP,ASNODKAR ULHAS GOPAL,6587.0,INC,HALANKAR VISHWANATH ROHIDAS,2738.0,8,0,0.0,14525,14739,29264,9,5,14,14534,14744,29278,12,0,0.0,8851,8949,17800,147,12,159,8998,8961,17959,12,0,0.0,17959,17955,4,0,1,10,0,0.0
10,False,04-06-1999,06-06-1999,06-06-1999,22,846,True,9,1,10,3,0,3,0,0,0,6,1,7,4,1,5,20,0,0.0,BJP,PARRIKAR PRABHU MANOHAR,5396.0,INC,PRABHU KESHAV LAXIMIDHAR,2647.0,8,0,0.0,9646,8963,18609,0,0,0,9646,8963,18609,12,0,0.0,5566,4827,10393,68,17,85,5634,4844,10478,12,0,0.0,10478,10471,7,0,16,10,0,0.0
